customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
3212-KXOCR,male,0,No,No,52.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),21.0,1107.2,No
4598-XLKNJ,female,1,Yes,No,25.0,Yes,No,fiber optic,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Manual,98.5,2514.5,Yes
6380-ARCEH,male,0,No,No,1.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,20.2,20.2,No
3679-XASPY,female,0,Yes,Yes,1.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.45,19.45,No
7123-WQUHX,male,0,No,No,38.0,Yes,Yes,fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No
5386-THSLQ,female,1,Yes,No,66.0,No,No,dsl,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No
3192-NQECA,male,0,Yes,No,68.0,Yes,Yes,fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes
6180-YBIQI,male,0,No,No,5.0,No,No,dsl,No,No,No,No,No,No,Monthly,No,Manual,24.3,100.2,No
6728-DKUCO,female,0,Yes,Yes,72.0,Yes,Yes,fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Manual,104.15,7303.05,No
9750-BOOHV,female,0,No,No,32.0,No,No,dsl,Yes,No,No,No,No,No,One year,No,Manual,30.15,927.65,No
8597-CWYHH,male,0,No,No,43.0,Yes,Yes,fiber optic,No,No,No,No,Yes,Yes,One year,No,Manual,94.35,3921.3,No
2848-YXSMW,male,0,Yes,Yes,72.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.4,1363.25,No
0486-HECZI,male,0,Yes,No,55.0,Yes,Yes,fiber optic,Yes,Yes,No,No,Yes,No,Monthly,Yes,Manual,96.75,5238.9,Yes
4549-ZDQYY,female,0,No,No,52.0,Yes,No,dsl,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No
5712-AHQNN,female,0,No,No,43.0,Yes,No,fiber optic,No,Yes,Yes,No,Yes,No,Monthly,Yes,Manual,91.65,3954.1,No
4846-WHAFZ,female,1,Yes,No,37.0,Yes,Yes,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,76.5,2868.15,Yes
5256-SKJGO,female,0,Yes,Yes,64.0,No,No,dsl,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Manual,54.6,3423.5,No
3071-VBYPO,male,0,Yes,Yes,3.0,Yes,No,fiber optic,Yes,Yes,No,No,Yes,No,Monthly,No,Manual,89.85,248.4,No
9560-BBZXK,female,0,No,No,36.0,No,No,dsl,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No
5299-RULOA,female,0,Yes,Yes,10.0,Yes,Yes,fiber optic,Yes,No,No,No,Yes,Yes,Monthly,Yes,Manual,100.25,1064.65,Yes
8402-OOOHJ,female,0,No,No,41.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Manual,20.65,835.15,No
9445-ZUEQE,male,0,Yes,Yes,27.0,Yes,Yes,fiber optic,No,Yes,No,Yes,No,No,Monthly,Yes,Credit card (automatic),85.2,2151.6,No
1091-SOZGA,female,0,Yes,Yes,56.0,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No
2928-HLDBA,female,0,No,No,6.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,20.7,112.75,No
0404-SWRVG,male,0,No,No,3.0,Yes,Yes,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,74.4,229.55,Yes
6497-TILVL,female,0,Yes,Yes,7.0,Yes,No,dsl,Yes,No,No,No,No,No,Monthly,No,Manual,50.7,350.35,No
7219-TLZHO,female,0,Yes,Yes,4.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,20.85,62.9,No
4622-YNKIJ,male,0,No,No,33.0,Yes,No,fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Manual,88.95,3027.65,No
4412-YLTKF,female,1,No,No,27.0,Yes,Yes,fiber optic,No,No,Yes,No,No,No,Monthly,Yes,Manual,78.05,2135.5,Yes
6734-PSBAW,male,0,Yes,No,72.0,Yes,Yes,no,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No
3930-ZGWVE,male,0,No,No,1.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.75,19.75,No
2639-UGMAZ,male,1,No,No,71.0,No,No,dsl,Yes,Yes,No,No,Yes,Yes,One year,Yes,Manual,56.45,3985.35,No
2876-GZYZC,female,0,No,No,13.0,Yes,Yes,fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Manual,85.95,1215.65,No
6207-WIOLX,female,0,Yes,Yes,25.0,No,No,dsl,Yes,Yes,Yes,No,Yes,Yes,Monthly,Yes,Credit card (automatic),58.6,1502.65,Yes
8587-XYZSF,male,0,No,No,67.0,Yes,No,dsl,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.55,3260.1,No
3091-FYHKI,male,0,No,No,1.0,No,No,dsl,No,No,No,No,No,Yes,Monthly,Yes,Manual,35.45,35.45,Yes
2372-HWUHI,male,0,No,No,2.0,Yes,No,dsl,No,No,No,No,No,No,Monthly,No,Manual,44.35,81.25,Yes
7799-LGRDP,female,0,No,No,43.0,Yes,Yes,no,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),25.7,1188.2,No
7850-VWJUU,female,0,No,No,23.0,Yes,No,fiber optic,Yes,No,No,No,No,No,Monthly,Yes,Bank transfer (automatic),75.0,1778.5,No
3774-VBNXY,female,0,Yes,Yes,64.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Manual,20.2,1277.75,No
6217-KDYWC,male,0,No,Yes,57.0,Yes,No,no,No,No,No,No,No,No,Two year,Yes,Manual,19.6,1170.55,No
0390-DCFDQ,female,1,Yes,No,1.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,70.45,70.45,Yes
3146-MSEGF,female,1,Yes,Yes,72.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,No
4080-OGPJL,female,0,No,No,8.0,Yes,Yes,dsl,Yes,No,No,Yes,No,Yes,Monthly,No,Manual,71.15,563.65,Yes
1095-WGNGG,female,0,Yes,No,61.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,No
2636-SJDOU,male,0,No,No,64.0,Yes,Yes,fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84.3,5289.05,No
1131-QQZEB,male,1,Yes,No,71.0,Yes,Yes,no,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),23.95,1756.2,No
5716-EZXZN,female,0,Yes,Yes,65.0,Yes,Yes,fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05,6416.7,No
6837-BJYDQ,male,0,No,No,3.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,19.6,61.35,No
2135-RXIHG,male,0,No,No,1.0,Yes,No,dsl,No,No,No,No,No,No,Monthly,Yes,Manual,45.65,45.65,Yes
6440-DKQGE,male,0,No,Yes,30.0,Yes,No,dsl,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,1929.95,No
3466-BYAVD,male,0,Yes,Yes,15.0,Yes,No,dsl,No,Yes,Yes,Yes,No,Yes,Monthly,Yes,Manual,69.5,1071.4,No
3780-YVMFA,female,0,Yes,Yes,8.0,Yes,No,dsl,No,No,No,Yes,Yes,Yes,Monthly,Yes,Manual,68.55,564.35,No
3874-EQOEP,male,0,No,No,7.0,Yes,Yes,fiber optic,No,No,No,No,Yes,Yes,Monthly,No,Manual,95.0,655.5,Yes
1679-JRFBR,female,0,Yes,Yes,70.0,Yes,Yes,fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),108.15,7930.55,No
9073-ZZIAY,male,0,Yes,Yes,62.0,Yes,No,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Manual,86.1,5215.25,No
3077-RSNTJ,female,0,Yes,Yes,6.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,19.7,113.5,No
6551-GNYDG,female,0,Yes,Yes,14.0,Yes,No,fiber optic,No,No,No,No,No,Yes,Monthly,Yes,Bank transfer (automatic),80.9,1152.8,No
9167-APMXZ,female,0,No,No,22.0,Yes,Yes,fiber optic,No,No,No,No,Yes,No,Monthly,Yes,Bank transfer (automatic),84.15,1821.95,No
2749-CTKAJ,male,0,Yes,Yes,22.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,20.15,419.9,No
6371-NZYEG,male,0,Yes,Yes,16.0,Yes,No,dsl,Yes,No,Yes,No,Yes,No,Two year,No,Manual,64.25,1024.0,No
7554-NEWDD,male,0,No,No,10.0,Yes,Yes,no,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),25.7,251.6,No
8992-VONJD,female,0,No,Yes,13.0,Yes,No,dsl,Yes,Yes,No,No,No,No,Monthly,Yes,Manual,56.0,764.55,No
0867-MKZVY,female,0,Yes,No,20.0,Yes,Yes,fiber optic,Yes,No,No,No,No,No,Monthly,No,Manual,82.4,1592.35,Yes
4482-EWFMI,female,0,No,No,2.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,69.7,135.2,No
4648-YPBTM,male,0,No,No,53.0,Yes,Yes,dsl,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,No
2907-ILJBN,female,0,Yes,Yes,11.0,Yes,No,no,No,No,No,No,No,No,One year,No,Manual,20.6,233.9,No
6345-FZOQH,male,0,Yes,No,69.0,Yes,No,no,No,No,No,No,No,No,Two year,No,Manual,19.9,1363.45,No
3376-BMGFE,female,0,No,No,4.0,Yes,No,fiber optic,No,No,No,No,No,No,Monthly,Yes,Bank transfer (automatic),70.9,273.0,Yes
5997-OPVFA,male,0,Yes,No,72.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.05,6254.45,No
3445-HXXGF,male,1,Yes,No,58.0,No,No,dsl,No,Yes,Yes,No,No,Yes,Monthly,Yes,Manual,45.3,2651.2,Yes
1159-WFSGR,female,0,Yes,Yes,16.0,Yes,No,no,No,No,No,No,No,No,Monthly,No,Manual,20.4,321.4,No
7654-YWJUF,male,0,Yes,No,43.0,Yes,No,fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),84.25,3539.25,No
1875-QIVME,female,0,Yes,No,2.0,Yes,Yes,fiber optic,No,No,Yes,Yes,Yes,Yes,Monthly,Yes,Manual,104.4,242.8,Yes
6727-IOTLZ,male,0,Yes,No,14.0,Yes,No,dsl,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Manual,81.95,1181.75,No
0691-JVSYA,female,0,Yes,No,53.0,Yes,No,fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes
5918-VUKWP,female,0,No,No,32.0,Yes,No,no,No,No,No,No,No,No,One year,No,Bank transfer (automatic),20.55,654.55,No
1744-JHKYS,female,0,Yes,No,34.0,Yes,Yes,no,No,No,No,No,No,No,Monthly,No,Manual,24.7,780.2,No
2656-FMOKZ,female,1,No,No,15.0,Yes,Yes,fiber optic,No,No,No,No,No,No,Monthly,Yes,Manual,74.45,1145.7,Yes
2070-FNEXE,female,1,No,No,7.0,Yes,No,fiber optic,Yes,No,No,No,No,No,Monthly,No,Bank transfer (automatic),76.45,503.6,Yes
5947-SGKCL,female,0,Yes,Yes,15.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,Monthly,Yes,Bank transfer (automatic),105.35,1559.25,No
3712-PKXZA,male,0,Yes,No,61.0,Yes,No,no,No,No,No,No,No,No,One year,Yes,Credit card (automatic),20.55,1252.0,No
6317-YPKDH,female,0,No,No,1.0,No,No,dsl,No,Yes,No,No,No,No,Monthly,No,Bank transfer (automatic),29.95,29.95,Yes
6582-OIVSP,female,0,No,No,1.0,Yes,No,dsl,No,No,No,No,No,No,Monthly,No,Manual,45.3,45.3,No
